Log file started Fri Jan 07 18:21:57 2011
Fri Jan 07 18:26:09 2011: Client 1: Read key 0
Fri Jan 07 18:26:09 2011: Client 1: Read key 8
Fri Jan 07 18:26:11 2011: Client 1: Read key 2
Fri Jan 07 18:26:11 2011: Client 1: Read key 10
Fri Jan 07 18:26:11 2011: Client 1: Read key 8
Fri Jan 07 18:26:12 2011: Client 1: Read key 10
Fri Jan 07 18:26:13 2011: Client 1: Read key 8
Fri Jan 07 18:26:13 2011: Client 1: Read key 9
Fri Jan 07 18:26:13 2011: Client 1: Read key 1
Fri Jan 07 18:26:14 2011: Client 1: Read key 5
Fri Jan 07 18:26:14 2011: Client 1: Read key 4
Fri Jan 07 18:26:16 2011: Client 1: Read key 8
Fri Jan 07 18:26:18 2011: Client 1: Read key 10
Fri Jan 07 18:26:20 2011: Client 1: Read key 2
Fri Jan 07 18:26:21 2011: Client 1: Read key 6
Fri Jan 07 18:26:21 2011: Client 1: Read key 4
Fri Jan 07 18:26:22 2011: Client 1: Read key 5
Fri Jan 07 18:26:22 2011: Client 1: Read key 1
Fri Jan 07 18:26:23 2011: Client 1: Read key 5
Fri Jan 07 18:26:24 2011: Client 1: Read key 4
Fri Jan 07 18:26:24 2011: Client 1: Read key 6
Fri Jan 07 18:26:24 2011: Client 1: Read key 2
Fri Jan 07 18:26:25 2011: Client 1: Read key 10
Fri Jan 07 18:26:25 2011: Client 1: Read key 8
Fri Jan 07 18:26:26 2011: Client 1: Read key 9
Fri Jan 07 18:26:27 2011: Client 2: Read key 1
Fri Jan 07 18:26:27 2011: Client 1: Read key 0
Fri Jan 07 18:26:27 2011: Client 1: Read key 4
Fri Jan 07 18:26:27 2011: Client 2: Read key 5
Fri Jan 07 18:26:28 2011: Client 2: Read key 4
Fri Jan 07 18:26:28 2011: Client 2: Read key 6
Fri Jan 07 18:26:28 2011: Client 1: Read key 5
Fri Jan 07 18:26:28 2011: Client 1: Read key 1
Fri Jan 07 18:26:29 2011: Client 2: Read key 14
Fri Jan 07 18:26:29 2011: Client 1: Read key 5
Fri Jan 07 18:26:29 2011: Client 2: Read key 10
Fri Jan 07 18:26:29 2011: Client 1: Read key 4
Fri Jan 07 18:26:29 2011: Client 2: Read key 8
Fri Jan 07 18:26:30 2011: Client 1: Read key 2
Fri Jan 07 18:26:30 2011: Client 2: Read key 9
